Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
91,202,153869,761.728,11.739,31.788,31.059,51.961,12.041,5.741,42.162,0.741,0.926,12.731,558.639,725.733,133.041,6.055,30685.743,31.762,1.049,0.351
92,215,152544,709.507,11.638,31.761,31.070,53.301,12.765,5.340,26.485,0.665,0.950,13.056,575.349,727.549,144.781,5.527,28725.953,31.758,0.737,-0.341
93,191,171693,898.916,13.099,30.782,30.147,62.317,13.709,6.228,34.633,0.638,0.928,14.716,580.832,696.147,138.987,6.595,34450.560,30.702,0.965,1.138
94,184,176410,958.750,13.459,30.855,30.114,61.621,14.539,6.327,38.455,0.662,0.926,15.339,569.038,716.022,132.934,6.592,37340.755,30.859,0.687,-0.220
95,187,156935,839.225,11.973,31.876,31.155,58.215,14.113,5.902,33.562,0.623,0.930,14.854,562.861,721.080,135.154,6.199,34046.460,31.834,1.120,1.077
96,184,152044,826.326,11.600,31.892,31.152,58.354,13.668,6.087,37.923,0.656,0.929,14.276,553.418,712.918,137.469,6.358,33508.424,31.864,0.863,-0.155
97,163,141994,871.129,10.833,32.977,32.123,56.505,12.818,6.204,34.677,0.727,0.944,13.410,542.847,734.055,140.424,6.416,36816.920,32.939,1.026,0.480
98,190,159277,838.300,12.152,31.918,31.374,57.624,13.976,6.130,42.127,0.653,0.923,15.035,566.274,705.053,139.641,6.429,34331.153,31.863,1.014,0.744
